Customer_ID	Card_number	Account_Number	Primary_or_Sup_card_indicator	Card_Limit	Current_Balance_within_card
1	465269708804020	4652	P	10000	3206
2	465212381621478	4652	S	10000	2001
3	465234060131747	4652	S	10000	1316
4	523278393859100	5232	P	25000	7752
5	523278408870345	5232	S	25000	978
6	521631995227842	5216	P	5000	1682
7	448027576407506	4480	S	7000	1759
8	448085827194161	4480	S	7000	1410
9	448053935337894	4480	P	7000	2411
10	465253343310825	4652	S	10000	401
11	505883223227589	5058	S	15000	7762
12	505861043306991	5058	P	15000	2010
13	495240794468087	4952	S	1000	240
14	495262201714209	4952	P	1000	383
15	495269398046392	4952	S	1000	303
